iter	Passed	Remaining
1659	2887	591
1660	2889	589
1661	2890	587
1662	2892	586
1663	2893	584
1664	2894	582
1665	2896	580
1666	2898	579
1667	2900	577
1668	2901	575
1669	2903	573
1670	2904	571
1671	2905	570
1672	2907	568
1673	2908	566
1674	2910	564
1675	2911	562
1676	2912	561
1677	2914	559
1678	2916	557
1679	2918	555
1680	2919	554
1681	2920	552
1682	2922	550
1683	2923	548
1684	2925	546
1685	2926	545
1686	2927	543
1687	2929	541
1688	2930	539
1689	2932	537
1690	2934	536
1691	2935	534
1692	2936	532
1693	2938	530
1694	2940	529
1695	2942	527
1696	2943	525
1697	2945	523
1698	2946	521
1699	2948	520
1700	2949	518
1701	2951	516
1702	2952	514
1703	2954	513
1704	2955	511
1705	2964	510
1706	2966	509
1707	2967	507
1708	2968	505
1709	2970	503
1710	2972	502
1711	2973	500
1712	2975	498
1713	2976	496
1714	2978	494
1715	2980	493
1716	2981	491
1717	2983	489
1718	2984	487
1719	2986	486
1720	2987	484
1721	2989	482
1722	2990	480
1723	2992	479
1724	2993	477
1725	2995	475
1726	2997	473
1727	2999	472
1728	3000	470
1729	3002	468
1730	3004	466
1731	3005	465
1732	3007	463
1733	3008	461
1734	3009	459
1735	3010	457
1736	3013	456
1737	3015	454
1738	3016	452
1739	3018	451
1740	3020	449
1741	3022	447
1742	3023	445
1743	3024	444
1744	3026	442
1745	3027	440
1746	3029	438
1747	3031	437
1748	3032	435
1749	3034	433
1750	3035	431
1751	3037	429
1752	3038	428
1753	3040	426
1754	3041	424
1755	3042	422
1756	3044	421
1757	3046	419
1758	3048	417
1759	3049	415
1760	3051	414
1761	3053	412
1762	3054	410
1763	3056	408
